Date,Ticker,Metric,Value
2023-10-19,INFY,MA90,1329.644881184896
2023-10-20,INFY,MA90,1331.0716606987846
2023-10-23,INFY,MA90,1332.1662651909721
2023-10-25,INFY,MA90,1333.0877482096355
2023-10-26,INFY,MA90,1334.0394205729167
2023-10-27,INFY,MA90,1335.163197157118
2023-10-30,INFY,MA90,1336.2269436306424
2023-10-31,INFY,MA90,1337.0991658528646
2023-11-01,INFY,MA90,1337.8618828667534
2023-11-02,INFY,MA90,1338.9832153320312
2023-11-03,INFY,MA90,1340.4809583875867
2023-11-06,INFY,MA90,1342.0744995117188
2023-11-07,INFY,MA90,1343.5859239366318
2023-11-08,INFY,MA90,1344.8055352105034
2023-11-09,INFY,MA90,1345.4076185438369
2023-11-10,INFY,MA90,1345.9651272243923
2023-11-13,INFY,MA90,1346.4520941840278
2023-11-15,INFY,MA90,1347.3110812717014
2023-11-16,INFY,MA90,1348.5733778211807
2023-11-17,INFY,MA90,1349.901633029514
2023-11-20,INFY,MA90,1351.2308119032118
2023-11-21,INFY,MA90,1352.3805216471353
2023-11-22,INFY,MA90,1353.8923923068576
2023-11-23,INFY,MA90,1354.9775960286458
2023-11-24,INFY,MA90,1355.294539388021
2023-11-28,INFY,MA90,1355.699728732639
2023-11-29,INFY,MA90,1355.7344495985244
2023-11-30,INFY,MA90,1355.7242730034723
2023-12-01,INFY,MA90,1355.9520290798612
2023-12-04,INFY,MA90,1357.5517917209202
2023-12-05,INFY,MA90,1358.9877373589409
2023-12-06,INFY,MA90,1360.6621500651042
2023-12-07,INFY,MA90,1362.0965643988716
2023-12-08,INFY,MA90,1363.755349392361
2023-12-11,INFY,MA90,1365.519224717882
2023-12-12,INFY,MA90,1366.9898261176215
2023-12-13,INFY,MA90,1368.0713026258682
2023-12-14,INFY,MA90,1369.8010932074653
2023-12-15,INFY,MA90,1372.2742852105034
2023-12-18,INFY,MA90,1374.4492377387153
2023-12-19,INFY,MA90,1376.4050740559896
2023-12-20,INFY,MA90,1378.1565090603299
2023-12-21,INFY,MA90,1379.8593790690104
2023-12-22,INFY,MA90,1381.9054809570312
2023-12-26,INFY,MA90,1383.931068250868
2023-12-27,INFY,MA90,1385.975104437934
2023-12-28,INFY,MA90,1387.7085042317708
2023-12-29,INFY,MA90,1389.304226345486
2024-01-01,INFY,MA90,1391.2301161024307
2024-01-02,INFY,MA90,1392.799895562066
2024-01-03,INFY,MA90,1393.9128051757812
2024-01-04,INFY,MA90,1395.223898654514
2024-01-05,INFY,MA90,1396.5819932725694
2024-01-08,INFY,MA90,1397.8728515625
2024-01-09,INFY,MA90,1399.2800659179688
2024-01-10,INFY,MA90,1400.5657809787326
2024-01-11,INFY,MA90,1401.3924289279514
2024-01-12,INFY,MA90,1403.4822428385417
2024-01-15,INFY,MA90,1405.9038031684029
2024-01-16,INFY,MA90,1407.881766764323
2024-01-17,INFY,MA90,1409.8066012912327
2024-01-18,INFY,MA90,1411.7723646375869
2024-01-19,INFY,MA90,1414.0340806749132
2024-01-23,INFY,MA90,1416.077817111545
2024-01-24,INFY,MA90,1418.4044881184896
2024-01-25,INFY,MA90,1420.4039225260417
2024-01-29,INFY,MA90,1422.2988335503471
2024-01-30,INFY,MA90,1424.0480428059896
2024-01-31,INFY,MA90,1425.8491604275173
2024-02-01,INFY,MA90,1427.8179497612848
2024-02-02,INFY,MA90,1430.1908325195313
2024-02-05,INFY,MA90,1432.3767523871527
2024-02-06,INFY,MA90,1435.0730319552952
2024-02-07,INFY,MA90,1437.6199679904514
2024-02-08,INFY,MA90,1440.2916408962674
2024-02-09,INFY,MA90,1442.653340657552
2024-02-12,INFY,MA90,1445.4203925238714
2024-02-13,INFY,MA90,1448.2771606445312
2024-02-14,INFY,MA90,1450.9532063802083
2024-02-15,INFY,MA90,1453.6285319010417
2024-02-16,INFY,MA90,1456.37269015842
2024-02-19,INFY,MA90,1458.9357367621528
2024-02-20,INFY,MA90,1461.3781711154513
2024-02-21,INFY,MA90,1463.295612250434
2024-02-22,INFY,MA90,1465.4965494791666
2024-02-23,INFY,MA90,1467.9541815863715
2024-02-26,INFY,MA90,1470.5956570095486
2024-02-27,INFY,MA90,1473.2423489040798
2024-02-28,INFY,MA90,1475.8832302517362
2024-02-29,INFY,MA90,1478.5724541558159
2024-03-01,INFY,MA90,1481.1293497721354
2024-03-04,INFY,MA90,1483.566805013021
2024-03-05,INFY,MA90,1485.8724717881944
2024-03-06,INFY,MA90,1488.5162163628472
2024-03-07,INFY,MA90,1491.2614407009548
2024-03-11,INFY,MA90,1493.6141086154514
2024-03-12,INFY,MA90,1496.1339450412327
2024-03-13,INFY,MA90,1498.72962375217
2024-03-14,INFY,MA90,1501.9250854492188
2024-03-15,INFY,MA90,1504.7434787326388
